code,name,gender,function,disciplines
3047356,SCHULZE Robert,Male,Referee,['Handball']
3047357,TOENNIES Tobias,Male,Referee,['Handball']
3047358,MERZ Maike,Female,Referee,['Handball']
3047359,KUTTLER Tanja,Female,Referee,['Handball']
3047360,BIRO Adam,Male,Referee,['Handball']
3047361,KISS Oliver,Male,Referee,['Handball']
3047362,NACHEVSKI Gjorgji,Male,Referee,['Handball']
3047363,NIKOLOV Slave,Male,Referee,['Handball']
3047364,RAZNATOVIC Milos,Male,Referee,['Handball']
3047365,KLEVEN Havard,Male,Referee,['Handball']
3047366,LAH Bojan,Male,Referee,['Handball']
3047367,SOK David,Male,Referee,['Handball']
3047368,BRUNNER Arthur,Male,Referee,['Handball']
3047369,WETTERWIK Mattias,Male,Referee,['Handball']
3052943,BRUDEY Jean Francois,Male,Line Judge,['Beach Volleyball']
3060392,BAS Andrej,Male,Referee,['3x3 Basketball']
3060402,TRONTELJ Gorazd,Male,Referee,['3x3 Basketball']
3060403,SHIMOYAMA Waka,Female,Referee,['3x3 Basketball']
3060404,YAGI Aki,Female,Referee,['3x3 Basketball']
3060405,MATSUMOTO Tsunemi,Female,Referee,['3x3 Basketball']
3060406,HEGEDUSNE STION Eva,Female,Referee,['3x3 Basketball']
3060407,BOZJAK Ziga,Male,Referee,['3x3 Basketball']
3060408,SANKOVIC Andraz,Male,Referee,['3x3 Basketball']
3060409,GOGALA Eva,Female,Referee,['3x3 Basketball']
3060410,FULOP Adam,Male,Referee,['3x3 Basketball']
3060411,JUG Ana,Female,Referee,['3x3 Basketball']
3060412,KECSKEMETI Elizabeth,Female,Referee,['3x3 Basketball']
3062446,MANNO Timothy,Male,Technical Official,['Surfing']
3518627,PICSON Maria Karina,Female,Judge,['Boxing']
3521177,OOMMEN George,Male,Referee,['Football']
4193219,KOWLOON,Male,Judge F,['Breaking']
4652045,REY David,Male,Referee,['Wrestling']
4654128,BARTHE SADRAN Marie,Female,Judge,['Boxing']
4654138,KUSSMAUL Holger,Male,Referee,['Boxing']
4968543,CAMPANILE Nicolas,Male,Judge,['Artistic Gymnastics']
